Jeu,Algo,Structure,TouteUnif,Temps_Pretraitement_Moyen(s),Temps_Unification_Moyen(s),Temps_Total_Moyen(s),RAM_Pic_Moyen(Mo),CPU_Moyen(%)
jeu23,robinson,liste,False,0.002218,0.759206,0.761424,1.64,100.0
jeu23,robinson,dictionnaire,True,0.007485,6.950641,6.958126,8.17,100.0
jeu23,robinson,dictionnaire,False,0.007664,0.740205,0.747869,1.65,100.0
jeu23,robinson,ensemble,True,0.865409,4.441573,5.306982,10.53,100.0
jeu23,robinson,ensemble,False,0.863402,1.319486,2.182888,6.0,100.0
jeu24,robinson,liste,True,0.022804,76.28104,76.303844,82.1,100.0
jeu24,robinson,liste,False,0.022766,15.229608,15.252374,16.41,99.9
jeu24,robinson,dictionnaire,True,0.075177,76.891355,76.966532,82.28,100.0
jeu24,robinson,dictionnaire,False,0.074142,14.846244,14.920386,16.6,100.0
jeu24,robinson,ensemble,True,13.186568,54.300108,67.486676,97.75,100.0
jeu24,robinson,ensemble,False,13.201247,21.913129,35.114376,48.0,100.0
